Pos,Driver,Team,Lap time,Gap,Tyre
1,E Robinson,Mercedes AMG,1:14.523,-,SS
2,B Gyulavári,LADA Racing Team,1:14.524,+ 0:00.001,SS
3,H Panjaitan,Ред бул,1:14.550,+ 0:00.027,SS
4,N Berger,Resing Red,1:14.593,+ 0:00.070,SS
5,L Button,Buscame en Youtube,1:15.017,+ 0:00.494,S
6,T Gurdjieff,АвтоВаз,1:15.141,+ 0:00.618,S
7,T Antsyforov,XDD racing,1:15.187,+ 0:00.664,S
8,N Mayländer,Night Demon,1:15.428,+ 0:00.905,M
9,C Clarke,AA Language Account by YB,1:15.487,+ 0:00.964,M
10,G Yefrimov,Ski Team by YN,1:15.489,+ 0:00.966,M
11,S Chistiakov,Рикки Бобби,1:15.505,+ 0:00.982,M
12,S Mayer,Princeton Plainsboro,1:15.515,+ 0:00.992,M
13,U Sözcü,0 Williams Racing,1:15.575,+ 0:01.052,H
14,B Johnson,NIVA 2121,1:15.585,+ 0:01.062,H
15,K Gundersen,TorpeDo,1:15.585,+ 0:01.062,H
16,F Alonso,Rindt Racing,1:15.657,+ 0:01.134,H
17,D Wood,Brown GP team racing,1:15.830,+ 0:01.307,H
18,A Maia,Kuba,1:15.851,+ 0:01.328,M
19,M Tsyganova,Alpha Tauri,1:15.883,+ 0:01.360,SS
20,J White,Ferlian Racing Team,1:16.776,+ 0:02.253,M
21,C Haug,VBETON ВВРТ,1:16.967,+ 0:02.444,M
22,P Hanselmann,Vaduz Castle,1:20.267,+ 0:05.744,W
